"人物","原始写法","起年","迄年","年度段","爵号","身份","显示色值","颜色依据","爵号依据","史料链接","是否待核","待核原因","用户修订色值","用户修订身份","用户备注"
"陳叔顯","陳叔顯","586","588","586—588","臨江王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0139：586年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳昌","陳昌","560","560","560","衡陽王","皇弟（當年詔議稱謂）","#FF0000","《陳書》卷十四天嘉元年奏議稱第六皇弟昌","原年表560年 I324","https://zh.wikisource.org/zh/陳書/卷14","否","","","",""
"陳法武","陳法武","557","557","557","未見確定爵號","原表姓名色（身份待核）","#00B050","原年表 AB321","本年未見確定爵號","","是","身份未有明確依據，不按陳姓推宗室；本年未見確定爵號","","",""
"陳炅","陳炅","558","588","558—588","上饒侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五宗室封爵詔及本傳；依使用者指定為遠支宗室褐系","既有封國紀年 chen_fief_0010：558年—？","https://zh.wikisource.org/zh/陳書/卷15","是","既有封國紀年 chen_fief_0010：558年—？","","",""
"陳彥","陳彥","583","588","583—588","永嘉王","皇子","#C00000","《陳書》卷二十八父子名錄；陳叔寶之子，該年年皇子（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳恬","陳恬","588","588","588","錢唐王","皇子","#C00000","《陳書》卷二十八父子名錄；陳叔寶之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0148：588年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳恮","陳恮","588","588","588","東陽王","皇子","#C00000","《陳書》卷二十八父子名錄；陳叔寶之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0146：588年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳胤","陳胤","578","581","578—581","永康公","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0104：578年—582年","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳胤","陳胤","582","582","582","永康公","皇子","#C00000","《陳書》卷二十八父子名錄；陳叔寶之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0104：578年—582年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳胤","陳胤","588","588","588","吳興王","皇子","#C00000","《陳書》卷二十八父子名錄；陳叔寶之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0143：588年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳晃","陳晃","558","588","558—588","建城侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五宗室封爵詔及本傳；依使用者指定為遠支宗室褐系","既有封國紀年 chen_fief_0016：558年—？","https://zh.wikisource.org/zh/陳書/卷15","是","既有封國紀年 chen_fief_0016：558年—？","","",""
"陳桃根","陳桃根","575","575","575","未見確定爵號","原表姓名色（身份待核）","#00B050","原年表 Y339","本年未見確定爵號","","是","身份未有明確依據，不按陳姓推宗室；本年未見確定爵號","","",""
"陳祏","陳祏","558","588","558—588","豫章侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五宗室封爵詔及本傳；依使用者指定為遠支宗室褐系","既有封國紀年 chen_fief_0027：558年—？","https://zh.wikisource.org/zh/陳書/卷15","是","既有封國紀年 chen_fief_0027：558年—？","","",""
"陳祗","陈祗／陳祗","583","588","583—588","信義王","皇子","#C00000","《陳書》卷二十八父子名錄；陳叔寶之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0117：583年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳秣","陳秣","585","585","585","未見確定爵號","原表姓名色（身份待核）","#00B050","原年表 Z349","本年未見確定爵號","","是","身份未有明確依據，不按陳姓推宗室；本年未見確定爵號","","",""
"陳虔","陳虔","583","588","583—588","南海王","皇子","#C00000","《陳書》卷二十八父子名錄；陳叔寶之子，該年年皇子（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳深","陳深／陳淵","583","588","583—588","始安王","皇子","#C00000","《陳書》卷二十八父子名錄；陳叔寶之子，該年年皇子（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳莊","陳莊","586","588","586—588","會稽王","皇子","#C00000","《陳書》卷二十八父子名錄；陳叔寶之子，該年年皇子（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳袞","陳袞","575","576","575—576","鐘陵侯","原表姓名色（身份待核）","#984807","原年表 L339","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳訬","陳訬","558","564","558—564","虔化侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五宗室封爵詔及本傳；依使用者指定為遠支宗室褐系","既有封國紀年 chen_fief_0025：558年—564年","https://zh.wikisource.org/zh/陳書/卷15","否","","","",""
"陳智深","陈智深／陳智深","582","588","582—588","游安子","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0116：582年—589年","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳番","陳番","583","588","583—588","湘濱侯","皇子之子（長子，湘濱侯；未襲王）","#0070C0","《陳書》卷二十八：廬陵王伯仁長子番，先封湘濱侯；不是後主子陳蕃","既有封國紀年 chen_fief_0023：？—589年","https://zh.wikisource.org/zh/陳書/卷28","是","既有封國紀年 chen_fief_0023：？—589年","","",""
"陳敬泰","陳敬泰","558","588","558—588","平固侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五宗室封爵詔及本傳；依使用者指定為遠支宗室褐系","既有封國紀年 chen_fief_0015：558年—573年－？","https://zh.wikisource.org/zh/陳書/卷15","是","既有封國紀年 chen_fief_0015：558年—573年－？","","",""
"陳敬雅","陳敬雅","558","588","558—588","寧都侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五宗室封爵詔及本傳；依使用者指定為遠支宗室褐系","既有封國紀年 chen_fief_0014：558年—？","https://zh.wikisource.org/zh/陳書/卷15","是","既有封國紀年 chen_fief_0014：558年—？","","",""
"陳稜","陳稜","585","585","585","未見確定爵號","身份待核","#000000","現有來源未能確認親屬或承襲關係","本年未見確定爵號","","是","身份未有明確依據，不按陳姓推宗室；本年未見確定爵號","","",""
"陳詳","陳詳／陈详","557","564","557—564","遂興侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五宗室封爵詔及本傳；依使用者指定為遠支宗室褐系","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷15","否","","","",""
"陳道譚","陳道譚","558","588","558—588","始興王","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0002：557年追封","","是","身份未有明確依據，不按陳姓推宗室；既有封國紀年 chen_fief_0002：557年追封","","",""
"陳頊","陳頊","558","558","558","始興王","始興嗣王（遙襲封）","#7030A0","《陳書》卷二、卷二十八明載襲封始興王","既有封國紀年 chen_fief_0002：557年－559年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳頊","陳頊","559","559","559","安成王","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0032：559年－569年","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳頊","陳頊","560","565","560—565","安成王","皇弟","#FF0000","《陳書》卷二十八：該年年為皇弟","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳頊","陳頊","566","566","566","安成王","原表姓名色（身份待核）","#FF0000","原年表 B330","原年表566年 B330","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳頊","陳頊","567","568","567—568","安成王","始封王（非皇弟皇子）","#D99694","《陳書》卷二十八：該年年為始封王（非皇弟皇子）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳頊","陳頊","569","569","569","安成王","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0032：559年－569年","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳兢","陳兢","587","588","587—588","邵陵王","皇子","#C00000","《陳書》卷二十八父子名錄；陳叔寶之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0141：587年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳蒨","陳蒨／陈蒨","557","559","557—559","臨川王","原表姓名色（身份待核）","#D60093","原年表 D321","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳慧紀","陳慧紀／陈慧纪","558","588","558—588","宜黃侯","疏遠宗室（卷十五）","#632523","《陳書》卷十五宗室封爵詔及本傳；依使用者指定為遠支宗室褐系","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷15","否","","","",""
"陳褒","陳褒","557","557","557","鐘陵侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五宗室封爵詔及本傳；依使用者指定為遠支宗室褐系","原年表557年 Z321","https://zh.wikisource.org/zh/陳書/卷15","否","","","",""
"陳褒","陳褒","558","588","558—588","鍾陵侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五宗室封爵詔及本傳；依使用者指定為遠支宗室褐系","既有封國紀年 chen_fief_0029：558年－？","https://zh.wikisource.org/zh/陳書/卷15","是","既有封國紀年 chen_fief_0029：558年－？","","",""
"陳曇朗","陳曇朗","558","561","558—561","南康嗣王","南康嗣王（朝廷遙襲封；561年始知遇害）","#7030A0","《陳書》卷十四明載遙襲南康王；朝廷天嘉二年始聞凶問","既有封國紀年 chen_fief_0001：557年遙封","https://zh.wikisource.org/zh/陳書/卷14","否","","","",""
"陳蕃","陳蕃","588","588","588","吳郡王","皇子","#C00000","《陳書》卷二十八父子名錄；陳叔寶之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0142：588年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳諠","陳諠","557","557","557","吉陽侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五宗室封爵詔及本傳；依使用者指定為遠支宗室褐系","原年表557年 Z321","https://zh.wikisource.org/zh/陳書/卷15","否","","","",""
"陳諠","陳諠","558","588","558—588","吉陽侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五宗室封爵詔及本傳；依使用者指定為遠支宗室褐系","既有封國紀年 chen_fief_0012：年份見封國表","https://zh.wikisource.org/zh/陳書/卷15","是","既有封國紀年 chen_fief_0012：年份見封國表","","",""
"陳鄷","陳鄷","584","585","584—585","桂陽國世子","皇子之子（本年未襲王）","#0070C0","《陳書》卷二十八：伯謀子酆嗣；具體年度沿用既有封國紀年","既有封國紀年 chen_fief_0077：本文據家世材料與繼承規則改定586年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳鄷","陳鄷","586","588","586—588","桂陽嗣王","嗣王","#7030A0","本項封國年度承襲紀錄（沿用已有服喪及嗣位考定；僅實際襲王階段用紫色）","既有封國紀年 chen_fief_0077：本文據家世材料與繼承規則改定586年－589年","","是","身份／承襲年度沿用現表推定；既有封國紀年 chen_fief_0077：本文據家世材料與繼承規則改定586年－589年","","",""
"陳嶷","陳嶷／陈嶷","583","588","583—588","南平王","皇子","#C00000","《陳書》卷二十八父子名錄；陳叔寶之子，該年年皇子（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳擬","陳擬／陈拟","557","559","557—559","永脩侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五宗室封爵詔及本傳；依使用者指定為遠支宗室褐系","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷15","否","","","",""
"陳擬","陳擬／陈拟","560","560","560","永修侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五宗室封爵詔及本傳；依使用者指定為遠支宗室褐系","既有封國紀年 chen_fief_0020：558年—560年","https://zh.wikisource.org/zh/陳書/卷15","否","","","",""
"陳寶应","陈宝应","557","559","557—559","未見確定爵號","身份待核","#000000","現有來源未能確認親屬或承襲關係","本年未見確定爵號","","是","身份未有明確依據，不按陳姓推宗室；本年未見確定爵號","","",""
"陳寶應","陳寶應","557","557","557","未見確定爵號","原表姓名色（身份待核）","#00B050","原年表 W321","本年未見確定爵號","","是","身份未有明確依據，不按陳姓推宗室；本年未見確定爵號","","",""
"陳寶應","陳寶應","558","558","558","候官侯","原表姓名色（身份待核）","#00B050","原年表 W322","既有封國紀年 chen_fief_0011：556年—563年","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳寶應","陳寶應","559","563","559—563","候官侯","原表姓名色（身份待核）","#984807","原年表 W323","既有封國紀年 chen_fief_0011：556年—563年","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳寶應","陳寶應","564","564","564","未見確定爵號","原表姓名色（身份待核）","#00B050","原年表 W328","本年未見確定爵號","","是","身份未有明確依據，不按陳姓推宗室；本年未見確定爵號","","",""
"陳黨","陳黨","561","562","561—562","永修國世子","疏遠宗室（卷十五）","#984807","《陳書》卷十五：陳擬子黨嗣侯","既有封國紀年 chen_fief_0020：？—589年","https://zh.wikisource.org/zh/陳書/卷15","是","既有封國紀年 chen_fief_0020：？—589年","","",""
"陳黨","陳黨","563","588","563—588","永修侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五：陳擬子黨嗣侯","既有封國紀年 chen_fief_0020：？—589年","https://zh.wikisource.org/zh/陳書/卷15","是","既有封國紀年 chen_fief_0020：？—589年","","",""
"陳霸先","陳霸先","557","557","557","陳王","原表姓名色（身份待核）","#FFFF00","原年表 B321","原年表557年 B321","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳權","陳權","558","558","558","長沙王","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0005：558年追封","","是","身份未有明確依據，不按陳姓推宗室；既有封國紀年 chen_fief_0005：558年追封","","",""
